x,y,Total number of holdings (c288),Total Area (c1),Total Crops & Fallow (c35),Rough Grazing Area (c7),Woodland on holding (c8)
374000,238000,2.2,169.8,7.2,0,4.4
374000,240000,9.7,363.8,9.3,0,27.1
374000,242000,7.3,272.8,7,0,20.3
374000,244000,9,360.3,11.4,5.6,16.2
376000,80000,0.3,97.9,3.7,3.9,1.3
376000,82000,3.5,403,11.8,7.8,9.5
376000,84000,5.8,414.6,8.7,0,14
376000,86000,1.5,103.6,2.2,37.6,3.5
376000,88000,2.1,679.7,43.8,0,18.7
376000,90000,4.4,642.2,33.1,6.1,16.1
376000,92000,6,615.2,19.5,0,4.5
376000,94000,1.5,189.8,7.5,0,4.1
376000,96000,3,346,20.7,1.7,7.2
376000,98000,4.3,430,27,2.5,8.1
376000,100000,3.5,313.9,10.2,24.8,4.4
376000,102000,3.8,379,12.7,0,7.6
376000,104000,4.3,419.2,15.9,80.7,12.8
376000,106000,3,484.3,21.7,0.1,21.1
376000,108000,7.4,431.9,12.3,0,7.3
376000,110000,6,345.3,5.8,0,1
376000,112000,10.9,337.6,1.6,0,1.1
376000,114000,10.9,337.6,1.6,0,1.1
376000,116000,10.4,437.9,6,3.5,2.4
376000,118000,4.9,269.1,5.2,3.3,1.8
376000,120000,4.4,432.3,8.8,0,0.5
376000,122000,9.1,355.6,3.5,0,0.2
376000,124000,7.5,329.4,2.7,0,2.6
376000,126000,8,337.2,2.6,0,2.6
376000,128000,19,565.2,14.2,12.7,1.1
376000,130000,7,380.1,11.9,0,2.9
376000,132000,2.3,255.6,10.3,7.3,0
376000,134000,2.7,245.2,9.6,0,0.5
376000,136000,3.7,224.3,8.2,0,1.4
376000,138000,1.3,96.9,1,8.4,0.6
376000,140000,5.5,275.2,1.8,9.4,8.4
376000,142000,8.4,340.6,1.6,1,11.7
376000,144000,8.4,308.7,1.9,0,3.9
376000,146000,4.2,146.4,1,0,0
376000,148000,4.2,146.4,1,0,0
376000,150000,5.7,282.2,6.6,0,2.9
376000,152000,5.7,508.4,20.7,0.9,10.4
376000,154000,5.6,370.4,15,0.9,6.7
376000,156000,5.7,290.5,12.3,1.8,15.5
376000,158000,5.6,313.9,13.8,7.1,26.9
376000,160000,7.4,238.2,5.3,27.5,16.5
376000,162000,9.3,219,5.5,37,4.3
376000,164000,0,0,0,0,0
376000,166000,14.6,317.5,8,12.6,6.4
376000,168000,12.8,239.8,10.4,24.3,8
376000,170000,6.8,249.7,12,34.8,5.3
376000,172000,7.2,303.4,14,98.9,3.2
376000,174000,6.3,309,16.7,0.4,2.6
376000,176000,4.2,368.5,23.9,13.2,1.2
376000,178000,3.5,325.9,24.9,1.6,0.6
376000,180000,7.3,402.9,16,0.4,14.2
376000,182000,3.8,158.7,4.2,0,1.5
376000,184000,6.6,390.9,15.8,0,6.3
376000,186000,5.5,310.2,13.4,0,7.5
376000,188000,5.5,310.2,13.4,0,7.5
376000,190000,8.5,421.6,10.4,0,17.5
376000,192000,3,112.4,2.2,50.4,3.9
376000,194000,8.2,318.6,5.4,0.5,8.4
376000,196000,6,201.4,9.3,10.5,4
376000,198000,8.6,242.7,6.7,0,9.8
376000,200000,6.4,304.7,6.2,0,1.3
376000,202000,5.8,352.1,9,1.1,2.3
376000,204000,8.3,340.5,8.6,1.2,3.6
376000,206000,6.4,414.1,8.5,8.4,1.4
376000,208000,5.3,373.8,5.5,25.1,0.2
376000,210000,6.1,301,5,0.6,1.1
376000,212000,8.1,347.8,10.2,1.9,1.5
376000,214000,6.6,351.6,10.9,0,0
376000,216000,8.3,403.4,10.8,0.2,0.2
376000,218000,8.8,270.1,7.8,0.6,0
376000,220000,7.1,276.8,12,0,1.7
376000,222000,9,363.2,17.2,2.6,2.7
376000,224000,9.6,345,13.3,1.2,7.8
376000,226000,8.9,362.4,11.7,1.7,12.4
376000,228000,12.4,288.8,7.5,2.9,0.6
376000,230000,13.5,453.4,12.9,5.3,2.6
376000,232000,13.5,453.4,12.9,5.3,2.6
376000,234000,7,396.1,16.1,1.7,2.4
376000,236000,6.1,219.9,9.1,0.1,2
376000,238000,8.4,389.2,16.8,4.5,15.2
376000,240000,5.5,354.6,16.3,6.4,21
376000,242000,4,134.8,3.5,6.4,8.6
376000,244000,3.8,133.9,2.9,12.4,5.9
378000,80000,0.9,293.6,7.5,107.8,3.8
378000,82000,1.2,391.4,11.2,111.6,5.1
378000,84000,2.4,397.2,13.3,11.6,7.3
378000,86000,4.8,391.2,10.8,129.9,8.8
378000,88000,1.1,206.7,7.9,26.6,3.1
378000,90000,4,410.8,16.8,0.6,5.1
378000,92000,1.5,152.3,6.1,0.3,10.8
378000,94000,3,304.5,12.3,0.7,21.6
378000,96000,4,489.6,24.9,2,21.7
378000,98000,5.1,507.7,26.1,7.9,18.8
378000,100000,3.5,253.5,11.1,6.5,7
378000,102000,3.4,271.9,10.5,3.3,7.1
378000,104000,1.3,100.1,4.7,3.3,3.3
378000,106000,4,263.4,0.1,104.6,7.8
378000,108000,5.3,306.7,1.9,69.1,5.4
378000,110000,6.6,477.4,7.4,0,9.7
378000,112000,8.2,253.2,1.2,0,0.8
378000,114000,5.4,168.8,0.8,0,0.6
378000,116000,3.2,171,3.7,0,1.3
378000,118000,12.7,684.1,14.9,0,5.1
378000,120000,5.3,379.9,7.9,0.8,0.1
378000,122000,8,376.6,2.2,5.5,0.5
378000,124000,10.1,409.4,2.5,0,5
378000,126000,10.1,409.4,2.5,0,5
378000,128000,8.9,384.6,5.7,0,3.9
378000,130000,4.3,385.9,21.7,23.3,1.7
378000,132000,3.3,431.5,24.4,0,2
378000,134000,4,320,12.4,0,0.9
378000,136000,4.9,299.1,11,0,1.8
378000,138000,1.8,332.4,10.4,0,0.6
378000,140000,0,0,0,0,0
378000,142000,2.1,73.2,0.5,0,0
378000,144000,8.4,292.7,2,0,0
378000,146000,6.3,219.6,1.5,0,0
378000,148000,5.2,205.1,1.9,0,0.7
378000,150000,6.5,373.4,10,0.7,5.3
378000,152000,5.3,399.1,17.9,3.2,6.2
378000,154000,4.6,225.9,9.5,0,1.7
378000,156000,5.8,267.2,10.8,0,4.1
378000,158000,11.8,344,11.6,4,14
378000,160000,7.2,280,12.5,107.6,7.3
378000,162000,6.7,348.1,16.6,22.7,8.5
378000,164000,7,311,9,57.5,9.6
378000,166000,4,150.5,4.6,0,3
378000,168000,9.3,247.1,9.3,0,5
378000,170000,5.4,227.6,10.5,0,2.4
378000,172000,7.2,303.4,14,0,3.2
378000,174000,7.2,303.4,14,0,3.2
378000,176000,6.1,357.3,18.4,12.4,2.5
378000,178000,3.8,347.2,24.4,7.4,0.9
378000,180000,4.6,473.1,26.1,3.1,5
378000,182000,3.8,528.5,24.9,4.6,1.5
378000,184000,5.8,337.1,14.2,0,7.1
378000,186000,5.5,310.2,13.4,0,7.5
378000,188000,4.1,232.6,10,29,5.6
378000,190000,5.2,351.9,12.7,0,13.4
378000,192000,3.6,371.2,11.8,108.9,32.2
378000,194000,9.8,435,9.4,100.9,21.8
378000,196000,11.7,415.5,8.9,17.4,26.8
378000,198000,10,371.3,8.3,0,29
378000,200000,7.6,432.1,11.7,12.2,5.9
378000,202000,6.6,500.4,10.1,3,2.9
378000,204000,9.5,416.1,4.5,1.8,2.7
378000,206000,11.1,328.7,6.2,0.2,3.4
378000,208000,9.7,372.7,7.8,8.3,1.2
378000,210000,3.3,355.5,11.8,0,4.3
378000,212000,11.2,532.6,18.4,0,6.1
378000,214000,7.7,371.7,11.3,4.7,0.4
378000,216000,8.4,418.8,6.7,0,0.6
378000,218000,4.4,404.2,24.7,0,2.2
378000,220000,3.9,393.1,26.7,0,6.4
378000,222000,7.4,375,12.4,0,17.6
378000,224000,7.4,375,12.4,0,17.6
378000,226000,10.5,407.4,12.2,12.8,9.1
378000,228000,11.8,326.1,8.9,9.6,3.2
378000,230000,9.7,317.1,10.6,0.5,0.4
378000,232000,8.8,260.8,6.6,0,7.4
378000,234000,5.1,323.7,15.7,0.3,1.8
378000,236000,9.7,251.3,9.6,4.5,2.8
378000,238000,13.7,338.9,8.1,0,5.7
378000,240000,10.5,245.9,4.1,0.8,4
378000,242000,6.1,215.7,6.7,0.6,2.9
378000,244000,1.5,43.9,1.1,0,1.9
380000,80000,3.3,294.4,6.6,99.5,0.8
380000,82000,5.3,322.1,10,0,0.7
380000,84000,5.3,322.1,10,0,0.7
380000,86000,0,0,0,0,0
380000,88000,1.1,206.7,7.9,26.6,3.1
380000,90000,1.4,102.1,4.4,0,1
380000,92000,2.9,204.1,8.8,0.6,2
380000,94000,4.1,335.7,13.4,0.6,13.2
380000,96000,4.1,445.5,19.3,1.1,20.5
380000,98000,5.4,564.2,25.9,7.7,25.8
380000,100000,3.8,300.2,14.2,9.8,10
380000,102000,1.3,110.7,2.8,26.1,21.9
380000,104000,2.5,221.3,5.6,52.1,43.9
380000,106000,3.3,275.1,10.6,28.7,25
380000,108000,3.3,238.7,3.7,0,4.9
380000,110000,6.6,477.4,7.4,0,9.7
380000,112000,6.1,361.3,7.8,0,11
380000,114000,8.4,496.6,8.6,7.5,1.6
380000,116000,12,673.1,13.2,0,3.6
380000,118000,11.3,548.7,7.8,0.8,2.5
380000,120000,9.9,300.6,1.1,2.4,0
380000,122000,11.3,448.1,2.1,11,0.1
380000,124000,9.7,452.4,2.6,17.4,2.6
380000,126000,2.5,102.4,0.6,0,1.2
380000,128000,10.1,409.4,2.5,8,5
380000,130000,7.5,418.5,14.3,0,5.4
380000,132000,5,316.2,13.7,0,4.1
380000,134000,6.2,390.9,4.6,213.7,4.6
380000,136000,3,407.2,13.1,0,1
380000,138000,2.3,443.2,13.9,0,0.7
380000,140000,2.7,336.6,7.2,7.3,4
380000,142000,1.3,168.3,3.6,7.3,2
380000,144000,5.9,258.3,7.4,21.8,0.5
380000,146000,8.1,305.5,7.3,50.7,0.3
380000,148000,4.1,190.6,2.4,0,1.3
380000,150000,8,357.7,7,1.3,3.5
380000,152000,7.2,311.3,9.6,3.9,2.2
380000,154000,6.9,300.8,12.6,9.5,0.5
380000,156000,5.8,329.5,9.8,0,2.2
380000,158000,10.1,292.3,9.6,0.5,1.6
380000,160000,9.9,351.3,12.3,32,3.1
380000,162000,5.6,339.5,20.9,0.3,2.1
380000,164000,4,425,25.8,0,0.5
380000,166000,5.1,327.1,18.1,3.3,7.7
380000,168000,7.5,381.4,19,5,12.4
380000,170000,3,211.9,7.7,0,25.2
380000,172000,3.3,98.2,4.4,3.2,2
380000,174000,13.1,392.7,17.5,12.7,7.8
380000,176000,5,411.1,22.9,24.7,1.8
380000,178000,3.8,308.4,17.1,18.5,1.4
380000,180000,0.7,203,10.4,2.3,0
380000,182000,2.1,609,31.1,6.9,0
380000,184000,5.5,310.2,13.4,0,7.5
380000,186000,2.8,258.4,14.3,0,0.1
380000,188000,3.6,336.6,20.8,0,0.1
380000,190000,5.1,355.3,18.4,0,4.1
380000,192000,3.5,320.8,19.5,28.5,1.7
380000,194000,2.7,354.9,25.7,28.5,4.1
380000,196000,3.3,405.2,28.1,24.9,36.1
380000,198000,7,515.3,26.1,124.9,74
380000,200000,6.5,341.6,11.3,23.4,8.6
380000,202000,9.6,250,2.5,0,3.1
380000,204000,3,59.2,1,0.5,0.2
380000,206000,10,301.3,6.7,0.3,1.2
380000,208000,9.3,360.5,9.2,25.1,2.2
380000,210000,3.3,355.5,11.8,0,4.3
380000,212000,2.3,58.4,3.1,4.7,0.3
380000,214000,4.5,116.8,6.2,9.3,0.5
380000,216000,13.3,364.9,4.8,0,0.2
380000,218000,5.8,386,24.9,14.3,2
380000,220000,5,316.4,15.5,0,1.1
380000,222000,5.7,288.8,10.2,0,0.6
380000,224000,11.5,473.2,21.2,23.4,5.3
380000,226000,10.2,432.3,14.6,15.9,4.2
380000,228000,10.3,417.1,11.7,12.8,5.6
380000,230000,8.9,344.9,12.2,0,0.5
380000,232000,7.9,324.9,11.6,3.6,3.3
380000,234000,6.3,234.3,11,0.1,3
380000,236000,11.7,295.1,8.8,4.5,4.3
380000,238000,11.7,301.3,7,0.3,3.8
380000,240000,9.7,263.8,6,0.5,1.9
380000,242000,9.2,343.6,11.1,1.1,2
380000,244000,8.8,246.5,9.5,3,4.4
382000,80000,0.7,71.3,4.1,0,0.2
382000,82000,1.9,522.2,26.5,0.5,0.6
382000,84000,3.3,540.7,23.2,0.5,0.5
382000,86000,0,0,0,0,0
382000,88000,0,0,0,0,0
382000,90000,0,0,0,0,0
382000,92000,3.4,323.4,11.5,1.8,10.5
382000,94000,4.4,384.2,12.7,1.5,12.4
382000,96000,4.9,325.6,11.3,0,5.8
382000,98000,2.2,432.8,21.8,7,15.3
382000,100000,1.6,324.6,16.3,5.2,11.5
382000,102000,1.1,130.4,7.8,2.7,2.8
382000,104000,4.4,521.8,31.1,10.7,11.3
382000,106000,1.1,130.4,7.8,2.7,2.8
382000,108000,0,0,0,0,0
382000,110000,12.7,446.8,13.2,0,19.7
382000,112000,11.2,280.8,5.8,44.6,8.8
382000,114000,9.9,240,2.2,0,1.4
382000,116000,11.3,321.7,2.7,0,0
382000,118000,9.6,422.1,3.3,19.8,5.5
382000,120000,12.6,387.7,2.9,1.6,0.4
382000,122000,6.8,286.4,2,100,1.3
382000,124000,7.9,342.4,1.7,0,4.6
382000,126000,5.7,275.4,0.9,0,4.3
382000,128000,10.1,409.4,2.5,4,5
382000,130000,6.7,421.6,18.3,0,5.5
382000,132000,6.7,421.6,13.7,94.5,5.5
382000,134000,4.4,438.5,18.7,38.9,5.9
382000,136000,1.9,461.5,18.2,100,9.2
382000,138000,0.7,237.8,0,160.5,8.1
382000,140000,5.1,563.6,12.8,7.3,6.2
382000,142000,0,0,0,0,0
382000,144000,3.8,185.1,6.9,0,0.5
382000,146000,7.8,318.2,12.5,1.2,0.5
382000,148000,4,133.1,5.6,1.2,0
382000,150000,7.1,369.7,7.9,0.7,4.7
382000,152000,9.9,369.3,9.8,6.9,2.7
382000,154000,13.3,409,5,12.1,0.2
382000,156000,8.2,411.5,8.4,3,1.2
382000,158000,11.3,463.7,10.9,0,2.9
382000,160000,8,257.5,6.1,0,2.2
382000,162000,6.5,265.5,9.5,0.6,1.3
382000,164000,3.4,182.3,8.6,1.2,0.3
382000,166000,5.8,312,16,3.9,7.8
382000,168000,6.2,331.3,17.5,5,11.4
382000,170000,6.6,428.3,17.4,1.7,41.5
382000,172000,6,423.9,15.4,9.8,50.3
382000,174000,4.8,204.2,8.2,13,14.5
382000,176000,4.5,201,10.1,9.4,2.4
382000,178000,4.7,393.1,21.2,18.5,1.8
382000,180000,3.7,299.2,13.2,1,0.5
382000,182000,5.6,429.1,18.4,0,0.1
382000,184000,5.6,429.1,18.4,0,0.1
382000,186000,3.9,354.6,16.8,0,0
382000,188000,2.7,252.4,15.6,0,0.1
382000,190000,5.7,464.2,26.1,0,1.4
382000,192000,4.4,419.6,12.5,6.2,7.7
382000,194000,3.1,371.1,22.4,1.5,5
382000,196000,3.1,332.6,21.9,44.3,6.7
382000,198000,7.1,279.7,9.2,23.9,12.7
382000,200000,10,279.5,4.4,8.1,17.5
382000,202000,8.9,285.1,3.7,9.3,15.7
382000,204000,3.7,59,3.8,2,1.2
382000,206000,15.8,275.2,4.6,23.9,0.4
382000,208000,6,310.2,7.5,26.4,2.1
382000,210000,7.2,445.7,10.5,2.2,2.7
382000,212000,6.9,381,10.7,8.8,1.2
382000,214000,0,0,0,0,0
382000,216000,0,0,0,0,0
382000,218000,3.7,86.7,1.3,6.2,0
382000,220000,12,491.2,15,7.5,11.2
382000,222000,8,476.1,8.7,0,22.4
382000,224000,8.5,447.5,10.6,5.8,12.5
382000,226000,7.7,391.8,8.2,5.8,1.3
382000,228000,6.7,413.9,10.2,0,3.6
382000,230000,9,356.6,11.4,0,0.5
382000,232000,8.9,344.9,12.2,0,0.5
382000,234000,9.2,485.2,10.6,3.9,2.5
382000,236000,7.7,546.1,17.2,7.7,3.6
382000,238000,6.8,432.6,15.9,0,2.9
382000,240000,7.8,279.6,8.8,0.3,1.3
382000,242000,9.2,343.6,11.1,1.1,2
382000,244000,10.3,330.6,12.8,3.6,1.7
384000,80000,0,0,0,0,0
384000,82000,0.6,379.6,18.2,0.5,0.2
384000,84000,1.2,759.3,36.4,1,0.3
384000,86000,4.5,164.1,3.6,13.5,3.4
384000,88000,2.3,82,1.8,13.5,1.7
384000,90000,3.7,244.2,8.4,49.9,4.3
384000,92000,4.9,325.6,11.3,0,5.8
384000,94000,3.7,244.2,8.4,0,4.3
384000,96000,4.9,415.3,16.8,0,4.4
384000,98000,4.4,621.6,30.6,1.7,4.2
384000,100000,2.2,432.8,21.8,7,15.3
384000,102000,0.5,108.2,5.4,1.7,3.8
384000,104000,3.1,320.6,18,5.4,20.5
384000,106000,2.6,456.7,23.3,19.4,5.6
384000,108000,1.2,72.4,3.8,1.9,1.4
384000,110000,2.8,122.5,4.1,0,6.1
384000,112000,6.4,480.7,24.6,63.1,2.6
384000,114000,4.1,470.3,16.8,12.7,27.3
384000,116000,9.1,464,12.3,21.1,7.6
384000,118000,10.6,411.9,7.8,19.8,6.9
384000,120000,10.4,392.7,6.4,100,2.4
384000,122000,6.8,262.8,1.5,3.1,2.4
384000,124000,5.7,275.4,0.9,1.4,4.3
384000,126000,6.3,277,1.3,0,4.1
384000,128000,6.6,350.4,9.9,4.9,5.7
384000,130000,5.6,353,14.5,3.2,7.6
384000,132000,5,318.7,12.7,4.8,8.6
384000,134000,3.7,410.3,19.4,62.2,9.8
384000,136000,1.8,467.6,24.3,30.3,12.1
384000,138000,1.9,421.4,12.4,120.9,15.5
384000,140000,3.3,176.1,6.1,0,0.8
384000,142000,0,0,0,0,0
384000,144000,6.6,307.7,10.1,0,0.1
384000,146000,4.1,439.3,23.9,12.5,0.3
384000,148000,4.6,422,18,8.3,3
384000,150000,6.2,381.6,8.7,0,6
384000,152000,8.1,307.3,7.4,0,6.1
384000,154000,11.4,356.2,5.5,8.3,3.1
384000,156000,0,0,0,0,0
384000,158000,13.2,533.4,19.1,0.1,0.6
384000,160000,7.2,329.3,11,0.5,0.3
384000,162000,5.9,293.5,11.1,0.7,0.6
384000,164000,4,241.9,9.2,0,1.5
384000,166000,5.9,337.4,15.2,2.1,4.7
384000,168000,2.1,110.4,5.8,1.7,3.8
384000,170000,7.9,433,21.3,4.3,8
384000,172000,4.4,245.1,12.4,4.6,9.5
384000,174000,3.6,190.5,7.4,2.8,4.7
384000,176000,4.4,467.2,10.7,64.8,0.2
384000,178000,3.8,387.2,15.2,32.4,1.3
384000,180000,4.2,361.3,16.7,0.5,1.3
384000,182000,5.6,429.1,18.4,0.5,0.1
384000,184000,7.5,408,16.7,0,8.8
384000,186000,5.6,306,12.5,0,6.6
384000,188000,4.8,308.9,11.5,1.5,6.3
384000,190000,4.4,415.8,13.9,5.7,6.5
384000,192000,2.4,527.4,35.6,7.8,29.5
384000,194000,2,511.2,38.9,6.3,28.6
384000,196000,4.4,265.6,10.7,0,14.4
384000,198000,3.8,80.5,1.2,0,1.9
384000,200000,0,0,0,0,0
384000,202000,0,0,0,0,0
384000,204000,4,79.9,0,0,0
384000,206000,11,243.5,11.8,8.1,3
384000,208000,7.7,326.9,8.6,5.4,2
384000,210000,8,402.8,8.6,2.7,2.6
384000,212000,8.8,319.3,6.6,14.1,4.7
384000,214000,0,0,0,0,0
384000,216000,0,0,0,0,0
384000,218000,0,0,0,0,0
384000,220000,6.5,153.6,6.7,0,0
384000,222000,8.9,298.7,7.4,0,5.9
384000,224000,5.5,187.3,8.7,0,1.2
384000,226000,10,438.2,14,60.5,0.4
384000,228000,6.7,413.9,10.2,24.3,3.6
384000,230000,9.3,391.6,9,0,0.3
384000,232000,5.9,453.6,18.5,3.1,4
384000,234000,9.2,485.2,10.6,0,2.5
384000,236000,4.3,418.7,24.7,0.7,3.5
384000,238000,6.3,375.9,15.3,3.2,2.5
384000,240000,6.4,272.1,9.8,0,1.8
384000,242000,7.1,355.6,16.1,1.4,1.4
384000,244000,5.3,399.4,22.8,0.6,1
386000,78000,0,0,0,0,0
386000,80000,0,0,0,0,0
386000,82000,0,0,0,0,0
386000,84000,0,0,0,0,0
386000,86000,9,328.1,7.2,13.5,6.8
386000,88000,0,0,0,0,0
386000,90000,1.2,81.4,2.8,0,1.4
386000,92000,1.2,81.4,2.8,0,1.4
386000,94000,0,0,0,0,0
386000,96000,2.1,251.6,14.2,0,4.7
386000,98000,2.6,342.3,16.7,0,0.2
386000,100000,5.7,446.5,19.3,5.5,9.1
386000,102000,4.4,300.4,11.3,4.8,33.5
386000,104000,2.4,386,18,16.8,17.6
386000,106000,3,652.5,31.1,33.5,5.6
386000,108000,4.5,318.8,17.9,6.2,6.6
386000,110000,2.4,144.9,7.7,3.8,2.7
386000,112000,2.3,401.6,24.6,8.2,1.2
386000,114000,3.4,336.4,8.6,17.1,26.9
386000,116000,9.1,464,12.3,111.2,7.6
386000,118000,7.9,416,7.7,62.6,3.9
386000,120000,8.9,410.7,8.5,18.8,4.1
386000,122000,2,62.7,0,0,0
386000,124000,6.9,316.9,3.6,5.2,9.7
386000,126000,8.5,350.8,2.8,0,17.3
386000,128000,7,352.3,10.3,9.9,6.5
386000,130000,3,211.5,9,9.9,4.8
386000,132000,5.2,353.7,14.4,13.1,9.6
386000,134000,1.8,467.6,24.3,121.2,12.1
386000,136000,1.3,479.6,37.3,30.3,18.2
386000,138000,3.6,297,16.5,12.7,5.9
386000,140000,4.4,234.8,8.1,0,1.1
386000,142000,3.2,257.6,11.5,35.3,12.7
386000,144000,3.3,153.9,5.1,0,0.1
386000,146000,4.8,385,18.7,8.3,0.1
386000,148000,6.8,417.5,22,4.2,0.5
386000,150000,2,100.6,5.1,0,0.2
386000,152000,7.4,281,11.6,22,4.8
386000,154000,6.1,248.1,8,0,5.5
386000,156000,8.6,385.1,11.8,7.7,9.1
386000,158000,4,278,18.3,0,0.3
386000,160000,8.9,499.9,23.5,0.1,0.4
386000,162000,4.4,220.4,3.9,0,0.4
386000,164000,4.7,261.4,7.7,0,1.1
386000,166000,5.7,333.1,14.2,0.5,1.1
386000,168000,5.6,318.2,14.5,1.4,0.6
386000,170000,5.6,318.2,14.5,1.4,0.6
386000,172000,5.9,334.7,15.8,3.2,5.1
386000,174000,5.2,293.1,12.7,3.6,6
386000,176000,5.7,271.7,4.7,2.1,0
386000,178000,3.8,338.8,16.1,0,1.6
386000,180000,3.8,338.8,16.1,0,1.6
386000,182000,5.5,364.8,18.3,10.8,6.1
386000,184000,6.6,415.7,17.5,0.7,9
386000,186000,6.9,370.2,15.3,0,9.8
386000,188000,4,303.7,13.3,16,7.5
386000,190000,4.3,370.8,17.3,10.4,3.3
386000,192000,3.9,444.3,24.5,5.2,11.3
386000,194000,3.2,484,30.8,3.1,19.8
386000,196000,3.8,349.7,23.2,13.1,8
386000,198000,8.7,378.6,21.3,34.7,21.7
386000,200000,3.5,94.9,3.8,17.3,9.4
386000,202000,10,115.2,1.2,3.4,3.8
386000,204000,4.5,196.8,6.5,0,7.7
386000,206000,6.7,282.5,7.5,110.3,2.6
386000,208000,5,211.9,5.7,0,1.9
386000,210000,6.7,282.5,7.5,0,2.6
386000,212000,8.1,193.3,1.9,29,6.1
386000,214000,10.8,257.7,2.6,0,8.1
386000,216000,4.3,107.9,2.9,0,0
386000,218000,4.9,224.3,8.9,5.5,0.4
386000,220000,6.3,321.4,8.2,11.1,0.8
386000,222000,6.8,183.3,7.9,0,0.6
386000,224000,8.3,271.3,10.4,0.2,3.1
386000,226000,10.7,393.1,12.5,0.3,0.3
386000,228000,9.3,483.3,15.5,0,0.5
386000,230000,6.4,474.6,17.9,4.9,3.2
386000,232000,4.8,395.5,19.1,3.2,3.7
386000,234000,5,252.8,13.4,0.3,1.4
386000,236000,8.2,392.1,18.3,0.3,3.3
386000,238000,9.2,486.7,20.2,0,4.4
386000,240000,6.2,410.6,20.9,0,2.3
386000,242000,5,367.6,21.2,2,0.8
386000,244000,2,209,13.4,0.1,0.3
388000,78000,0,0,0,0,0
388000,80000,0,0,0,0,0
388000,82000,0,0,0,0,0
388000,84000,4,406.2,7,18.2,4.9
388000,86000,2.7,129.1,3.8,0,1.8
388000,88000,2.6,158.7,1.9,37.1,5.8
388000,90000,2.6,158.7,3.8,0,5.8
388000,92000,0.4,38.4,1.5,6.6,1
388000,94000,2.8,279.8,18.8,6.6,14.8
388000,96000,4.2,384.3,20,0.7,10.9
388000,98000,4.5,419.5,18.5,0.7,11.5
388000,100000,4.5,525,19.3,0,6.9
388000,102000,5,395.1,14.2,7.2,5.9
388000,104000,3.9,269.6,10.5,3.6,46.5
388000,106000,0.8,101.5,6.3,0.5,2.5
388000,108000,3.4,406,25.3,1.5,9.8
388000,110000,4.5,318.8,17.9,6.2,6.6
388000,112000,0.8,133.9,8.2,4.1,0.4
388000,114000,2.3,224.3,5.8,17.1,18
388000,116000,1.4,127.4,4.5,5.6,1.1
388000,118000,5.9,398,9.5,77.4,5.3
388000,120000,7.7,402.8,9.8,16.8,5.9
388000,122000,7.4,342.9,9.7,0,8.2
388000,124000,7.7,350.6,8,45.8,11.6
388000,126000,8.7,373.8,2.9,2.4,21.9
388000,128000,4.6,379.5,14.1,16.8,7
388000,130000,5.9,423,18.1,19.8,9.6
388000,132000,5.9,423,18.1,19.8,9.6
388000,134000,5.9,423,18.1,19.8,9.6
388000,136000,1.8,502.9,38.6,29,27.3
388000,138000,4.2,397.7,18.9,70.7,24.8
388000,140000,4.2,397.7,18.9,35.3,24.8
388000,142000,3,420.5,22.2,0,36.3
388000,144000,3.3,153.9,5.1,0,0.1
388000,146000,6.6,307.7,10.1,82.4,0.1
388000,148000,0,0,0,0,0
388000,150000,6,301.9,15.2,21.3,0.5
388000,152000,6.4,309.7,10.4,16.6,2.4
388000,154000,5.5,385.4,19.8,0,9.9
388000,156000,8.6,415.6,12.9,0,10.1
388000,158000,8,268.8,4.5,2.4,0
388000,160000,7.1,335.3,5.2,0,1.5
388000,162000,7.4,340.8,3.7,0,1.5
388000,164000,12.6,548.6,4.4,0,1.5
388000,166000,7.4,394.9,10.3,2.4,3
388000,168000,7.5,424.3,19.3,1.9,0.8
388000,170000,7.5,424.3,19.3,1.9,0.8
388000,172000,6.2,410.3,21.5,3,5.1
388000,174000,6.3,423.8,21.7,2.8,5.5
388000,176000,6.4,450.7,22.1,2.3,6.3
388000,178000,3.5,285.4,13.6,0.5,2.5
388000,180000,2.4,175.2,9.4,0,2.6
388000,182000,4.6,372.6,19,0.7,6.3
388000,184000,4,439.1,19.7,2.7,9.8
388000,186000,4,283.2,13.4,0.7,10.4
388000,188000,3.3,269.2,14.7,28.9,4.7
388000,190000,3.7,303.1,15.6,22.7,4.3
388000,192000,2.3,202.3,9.1,2.1,1.4
388000,194000,4.7,404.7,18.2,2.1,2.9
388000,196000,3.6,377.7,27.4,0,5.9
388000,198000,8.3,362.9,21.1,0.2,20.5
388000,200000,13.8,379.5,15.3,0,37.5
388000,202000,0,0,0,0,0
388000,204000,6.8,295.1,9.7,0,11.6
388000,206000,9,393.5,12.9,0,15.5
388000,208000,5,211.9,5.7,0,1.9
388000,210000,7.5,314,10.2,0,2.7
388000,212000,5,204.3,9,13.7,1.6
388000,214000,11.2,336.7,13,7.7,5.7
388000,216000,8.5,272.3,12.4,7.7,3.7
388000,218000,6.9,342.6,9.8,11.1,0.8
388000,220000,10.3,394.9,11.2,11.1,1.4
388000,222000,8,360.7,16.1,0,2.8
388000,224000,3.6,292.2,14,0,10.8
388000,226000,8.5,331.7,12.7,20.3,3
388000,228000,9.2,365.8,13.7,0,0.6
388000,230000,7,430.5,12.6,2.9,0.5
388000,232000,3,170.8,6.5,0.8,0.5
388000,234000,8.9,329,9.4,1.4,1.3
